institution,timestep,episodic_reward,eval_reward,mean_planning_reward,mean_imitation_reward
khalifa,15000,38.24891841,52.666785721253994,41.5668,11.1
khalifa,30000,41.306346940000005,53.99887755931155,41.9989,12.0
khalifa,45000,45.46740821,55.7263265390255,42.3763,13.35
khalifa,60000,46.70179587,53.29086735518715,41.2909,12.0
khalifa,75000,45.48487752,55.82607143719281,42.0261,13.8
khalifa,90000,43.53997958,53.85244898827547,41.8524,12.0
khalifa,105000,53.65838777,56.88392857967409,41.7339,15.15
khalifa,120000,51.53504083,56.28729592701486,42.0373,14.25
khalifa,135000,54.05918364999999,56.26494898787964,42.0149,14.25
khalifa,150000,48.282265319999986,55.89913266151012,42.0991,13.8
khalifa,165000,50.24869385,55.85892857990692,42.0589,13.8
khalifa,180000,52.12671430000001,58.45178572248135,41.9518,16.5
khalifa,195000,47.13269389,59.68617347788796,41.3862,18.3
aus,15000,28.031660690000002,51.231897321428576,43.1319,8.1
aus,30000,33.6675,60.82703124999999,45.077,15.75
aus,45000,43.65826790000001,60.381584821428554,44.9316,15.45
aus,60000,47.06563399999999,61.18591517857142,44.9859,16.2
aus,75000,52.333455409999985,60.610401785714274,45.3104,15.3
aus,90000,50.811580430000014,61.52325892857142,46.0733,15.45
aus,105000,53.67995540999999,63.550915178571415,46.0009,17.55
aus,120000,48.71198216999999,64.68165178571428,46.2317,18.45
aus,135000,50.01476792000001,59.329151785714274,44.9292,14.4
aus,150000,49.40208035999999,63.36379464285714,46.2638,17.1
aus,165000,55.42639292999999,62.00921874999999,44.3092,17.7
aus,180000,48.56181254999999,63.17388392857142,44.5739,18.6
aus,195000,48.374857199999994,62.90741071428571,44.4574,18.45
unc,15000,20.29134286,37.02117856677754,40.9212,-3.9
unc,30000,29.827328530000003,41.47982142289035,41.7798,-0.3
unc,45000,39.05482856,49.93092856570279,42.5809,7.35
unc,60000,46.713171439999996,47.58753570836436,42.4875,5.1
unc,75000,40.49747146,48.12692856555937,42.5769,5.55
unc,90000,43.21667143,51.79389285121778,42.1939,9.6
unc,105000,47.36611431,53.54657142249734,42.5966,10.95
unc,120000,47.131871440000005,52.20271427983018,42.6027,9.6
unc,135000,41.346828560000006,52.608071422892216,42.5581,10.05
unc,150000,51.3557857,54.31978570810918,42.4698,11.85
unc,165000,47.220328560000006,53.442571422279414,42.4926,10.95
unc,180000,47.13032861000001,55.445499994112176,42.6955,12.75
unc,195000,46.30660005000001,54.59032142277674,42.2903,12.3
